UCI,UCI_version
144c6a68-4216-423c-be9f-fcecee1b7ce2,7
034d6439-fbcd-4a65-b898-df3272265512,1
ab5deccb-99a3-4189-97a7-9ba202061885,4
20cb6c36-289d-42b7-b730-50f785b96de6,2
3281c123-ccf4-4012-9270-acd86333c7de,1
28e7ad8c-32b3-490e-9201-50291ba318a3,1
e967c7d6-0de6-4e34-8434-3921630187d1,1
971188ef-9eec-4f3a-bba7-d81e308ab90b,1
f5f73fa8-5ab5-4ce4-ba85-0bdb11150bf6,1
2646993a-3044-4c81-9c5d-7dc5004226fc,1
ca8bf0a5-92e9-4dc1-80ca-8fad29eab990,1
d8c09d8c-3c90-4bee-a14a-23a7b1e39150,1
7d28ab45-f690-4a61-9735-cd80850fc087,1
afc8b295-961d-4b84-9d74-159ac9f544aa,1
a94cd27a-dc49-4667-8ac5-5e9d4bb5eff3,2
b8a84bc1-ff4e-4bc3-908b-138bc3394e3c,1
8e6e8dd6-4839-4199-9cf5-ad56a4475902,6
73591b14-6444-4aed-841c-a6c718b34358,1
de77708d-9f38-4a87-9aa9-fbcbc6902e01,2
e725c60b-ca73-41b7-b51d-bfb8d3f746f7,1
c6f0441b-1739-44c4-ba7d-98d19db9d2ec,1
52bee980-29ef-4344-8085-da218b39384f,4
d7739698-5bb5-4a63-bba9-ccadde9d42dc,1
78e6648c-b1cf-4bef-9766-921e235e157d,4
a30fe4b3-665e-4176-bf09-0c4968630fcf,2
28dc5213-fea6-455d-8579-3f5bdf425ac4,1
760c55a0-135d-462d-8775-91f0e030bc1a,22
ea7bffa8-6e23-44ce-acd8-297ae9472539,1
a375d65c-da41-4f4b-a4a3-3b3d1306e622,1
c9fa3be2-b5b9-415e-a230-8a490676bc5d,2
1949fca6-1c0b-4065-bddf-69e04d7ca974,4
ede89864-603f-403e-8bf2-5861ede328dc,1
9c633b26-6e15-41f9-8392-104382d1d36b,2
916a242e-7639-45da-85af-e0d57759815c,1
618e602a-1fe1-4b37-920b-83352952990e,1
7526a80b-2479-4098-9710-192a59ef8df2,1
91ec6356-bbf0-4e08-b756-dd499fdd8d20,1
09217062-aece-4fb1-88fc-a0f104c1ff58,4
dd42efa3-edcc-41d0-b58d-cc4186a7d0a9,1
39737588-25cc-42bd-88f0-0e5685673092,1
db1e0b90-91a9-4e09-89bd-ac704e3665af,1
61c4d262-9b58-4d8a-827e-c8d28498fa28,8
2b1c3a3f-a1d2-4aa7-b7ac-53c43ff64564,1
28852cf7-575c-499d-8e1f-c350206de938,2
ceaa493e-9f92-4174-af5a-378fada94e24,1
f6741c52-eb8b-4465-8280-4becbd790c80,1
e44e4637-aa00-4d2e-b6fd-5a2bb858c1ea,1
3a146bf8-c0e5-47e0-a47f-354bf8dee538,2
f50dfe63-f570-4dd9-a03a-98f8d4cf3dd5,1
af6a0994-ad78-414a-a162-c9a920453aab,1
1296cbce-5cde-4403-9ab2-756b96c72142,2
45cbb1d0-27d9-43ac-af3a-3fad4975edec,1
49d3c228-c83f-42af-a58f-f7e6566272ff,2
b1e2dba1-5f9b-422b-b47b-06e001492a8a,1
54b9de28-2b94-4020-9236-818eea0abfd5,1
07cb03ff-da3b-4fd3-86f0-259a695a7572,1
e7aa9caa-c431-4c1a-96de-7ee48fdd3ffc,1
077d723d-8d89-4db4-a88b-18efdad6bb23,2
239a9d6c-7602-4970-87cd-6658185f857c,8
841996bc-d62d-409a-91ed-6b5f2e6600f6,1
d6be1e23-5c65-41c3-87cf-dbfec4aa3e4f,2
cbd4c4d4-5493-4722-9308-3fe0c410f07d,1
4b4fa83e-6412-4743-93fc-f4f3c02702e2,2
3630caa8-48d8-4287-8844-ef44194e8ec5,4
2f987a8d-f018-47d9-a1cb-a01f948be1c3,1
5a42cb61-6ad5-41b4-8a1c-0f2c1d1d7ca7,1
b499cbef-4902-4540-894d-30687d212bc0,1
102a8eb6-3cc6-4c37-899b-83b981e50523,1
bc640f73-b3b4-4de4-b41b-8fe51543967c,2
2022ae93-2a48-4cb0-b2ea-1addc05c062d,1
a3b024e2-97a5-4c7a-bd1a-98912f0454d3,1
396edbc6-b690-43f6-b1a9-a27ccf340851,1
d1304506-a28c-465d-84ba-7c9ef7ba685d,1
74e0bb35-0c69-4692-bae9-9156233bb51a,2
b76879e1-462f-4614-83ca-75e51c096c78,1
dc404b09-2696-4945-ad65-7174f77fe329,1
8c630e0b-916e-4a7a-b58c-0025af1a1555,1
e4a8b46b-4ea5-4bd1-89b1-e4d83fc1ad6d,1
e56e53e9-51f4-4a75-83f6-6d38f5f37585,1
5a02241d-2013-4096-915d-3ffb02a3665c,1
c58acec4-590e-4f2d-a343-350944de3e5d,1
4ae98fe9-34d7-4d40-a7d4-975fe8b888a6,1
4cdcfc87-7f4a-4cf3-bb37-1c3990f9a9e9,1
cf8c6cc0-275e-4dea-97c6-fffc12332778,1
1d0fefff-44f3-4501-b65f-60d84ef7514b,1
e96ad081-52c8-4711-9187-1d393d141af3,2
7c60012b-73f1-45b3-8b6a-2939b752421e,1
ac0dc159-764d-47ec-b958-79f8223c4ccf,1
d09aa672-1e17-413e-a056-3b45cca7d8ff,1
5732f612-e00b-4e73-b3e2-5b983f1f5708,1
ce8d6df8-07bc-48df-b81b-5a0c4559101d,2
83ffbc2d-eed1-4d19-95b0-d756f73f0014,2
a24692c3-778e-4aa9-af6c-217fffb941e9,1
