OfferID,ZoneID,TPNB
A30859076,7,062462533
A30859076,6,062462533
A30859076,9,062462533
A30859077,7,067421298
A30859077,6,067421298
A30859077,9,067421298
A30859077,5,067421298
A30859078,5,072233294
A30859078,7,072233294
A30859078,6,072233294
A30859078,9,072233294
A30859079,5,071065742
A30859079,7,071065742
A30859079,6,071065742
A30859079,9,071065742
A30859085,5,057751636
A30859085,6,057751636
A30859085,7,057751636
A30859085,9,057751636-001
A30859085,7,057751636-001
A30859085,6,057751636-001
A30859085,5,057751636-001
A30859085,9,057751636
A30859086,5,052574871
A30859086,6,052574871
A30859086,7,052574871
A30859086,9,052574871-001
A30859086,7,052574871-001
A30859086,6,052574871-001
A30859086,5,052574871-001
A30859086,9,052574871
A30859087,5,056086630
A30859087,6,056086630
A30859087,9,056086630
A30859087,7,056086630
A30859088,5,064108450
A30859088,6,064108450
A30859088,9,064108450
A30859088,7,064108450
A30859089,9,064108542
A30859089,7,064108542
A30859089,5,064108542
A30859089,6,064108542
A30859090,5,071142000
A30859090,6,071142000
A30859090,9,071142000
A30859090,7,071142000
A30805927,5,070527457
A30805927,7,070527457
A30805927,9,070527457
A30805927,6,070527457
A30777465,5,071816563
A30777465,6,071816563
A30777465,9,071816563
A30777465,7,071816563
A30799133,6,067698534
A30799133,5,067698534
A30799133,9,067698534
A30799133,7,067698534
A30799129,8,056176437
A30799129,15,056176437
A30799129,6,056176437
A30799129,5,056176437
A30799129,9,056176437
A30799129,7,056176437
A30799130,6,071889591
A30799130,5,071889591
A30799130,9,071889591
A30799130,7,071889591
A30799131,6,071889734
A30799131,5,071889734
A30799131,9,071889734
A30799131,7,071889734
A30799132,6,050601993
A30799132,5,050601993
A30799132,6,050601993-003
A30799132,6,050601993-002
A30799132,6,050601993-001
A30799132,5,050601993-003
A30799132,5,050601993-002
A30799132,5,050601993-001
A30799132,9,050601993-003
A30799132,9,050601993-002
A30799132,9,050601993-001
A30799132,7,050601993-003
A30799132,7,050601993-002
A30799132,7,050601993-001
A30799132,9,050601993
A30799132,7,050601993
A30799134,6,067698684
A30799134,5,067698684
A30799134,9,067698684
A30799134,7,067698684
A30799135,6,072293556
A30799135,5,072293556
A30799135,9,072293556
A30799135,7,072293556
A30799136,6,074199671
A30799136,5,074199671
A30799136,7,074199671
A30799136,9,074199671
A30811985,9,050848009
A30812005,9,073758478
A30859091,5,062709139
A30859091,6,062709139
A30859091,9,062709139
A30859091,7,062709139
A30859092,5,054865489
A30859092,6,054865489
A30859092,9,054865489
A30859092,7,054865489
A30859093,5,073314969
A30859093,6,073314969
A30859093,9,073314969
A30859093,7,073314969
A30859095,5,054280570
A30859095,6,054280570
A30859095,9,054280570
A30859095,7,054280570
A30859095,7,054280570-001
A30859095,9,054280570-001
A30859095,6,054280570-001
A30859095,5,054280570-001
A30859096,5,071150629
A30859096,6,071150629
A30859096,9,071150629
A30859096,7,071150629
A30859100,5,073325046
A30859100,6,073325046
A30859100,9,073325046
A30859100,7,073325046
A30859101,6,073325023
A30859101,9,073325023
A30859101,7,073325023
A30859101,5,073325023
A30859102,6,071207149
A30859102,9,071207149
A30859102,7,071207149
A30859102,5,071207149
A30859103,5,071204475
A30859103,9,071204475
A30859103,6,071204475
A30859103,7,071204475
A30859104,5,071207178
A30859104,9,071207178
A30859104,7,071207178
